REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,143.973,,,,3
Sep-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,9.902,,,,3
Sep-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.662,,,,3
Sep-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.514,,,,3
Sep-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.363,,,,3
Sep-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.363,,,,3
Sep-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,37.551,,,,3
Sep-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,51.854,,,,3
Sep-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,17.243,,,,3
Sep-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,2.281,,,,3
Sep-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.198,,,,3
Sep-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,13.764,,,,3
Sep-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,27.423,,,,3
Oct-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,146.593,,,,3
Oct-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.892,,,,3
Oct-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,4.251,,,,3
Oct-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.508,,,,3
Oct-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.835,,,,3
Oct-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.298,,,,3
Oct-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,44.373,,,,3
Oct-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,45.517,,,,3
Oct-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,15.006,,,,3
Oct-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,2.042,,,,3
Oct-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.257,,,,3
Oct-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,11.707,,,,3
Oct-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,27.805,,,,3
Nov-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,143.505,,,,3
Nov-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.9,,,,3
Nov-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,4.213,,,,3
Nov-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.604,,,,3
Nov-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.637,,,,3
Nov-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.446,,,,3
Nov-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,48.416,,,,3
Nov-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,41.548,,,,3
Nov-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,16.216,,,,3
Nov-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,2.697,,,,3
Nov-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,0.695,,,,3
Nov-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,12.824,,,,3
Nov-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,23.425,,,,3
Dec-90,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,142.41,,,,3
Dec-90,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.507,,,,3
Dec-90,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.963,,,,3
Dec-90,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.276,,,,3
Dec-90,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.924,,,,3
Dec-90,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.344,,,,3
Dec-90,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,52.247,,,,3
Dec-90,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,39.887,,,,3
Dec-90,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,13.22,,,,3
Dec-90,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,1.977,,,,3
Dec-90,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,0.604,,,,3
Dec-90,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,10.639,,,,3
Dec-90,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,23.549,,,,3
Jan-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,118.887,,,,3
Jan-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,9.374,,,,3
Jan-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.33,,,,3
Jan-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.509,,,,3
Jan-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,3.95,,,,3
Jan-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.585,,,,3
Jan-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,34.912,,,,3
Jan-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,43.179,,,,3
Jan-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,13.422,,,,3
Jan-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.745,,,,3
Jan-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.044,,,,3
Jan-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,8.633,,,,3
Jan-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,18,,,,3
Feb-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,117.926,,,,3
Feb-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,10.18,,,,3
Feb-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.187,,,,3
Feb-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.593,,,,3
Feb-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.601,,,,3
Feb-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.799,,,,3
Feb-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,41.402,,,,3
Feb-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,32.688,,,,3
Feb-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,13.162,,,,3
Feb-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.732,,,,3
Feb-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,0.758,,,,3
Feb-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,8.672,,,,3
Feb-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,20.494,,,,3
Mar-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,118.066,,,,3
